post_id;post_type;title;permalink;keyword;seo_meta_title;description
2791;product;F-00193;http://artibaltika/product/f-00220/;;;
2792;product;F-00680;http://artibaltika/product/f-00223xx/;;;
2793;product;F-00759;http://artibaltika/product/f-00512/;;;
2794;product;F-00890;http://artibaltika/product/f-00221/;;;
2795;product;F-00098;http://artibaltika/product/f-00221m/;;;
2796;product;F-00280;http://artibaltika/product/f-00222/;;;
2797;product;F-00796;http://artibaltika/product/f-00222m/;;;
2798;product;F-00497;http://artibaltika/product/f-00797/;;;
2799;product;F-00018XX;http://artibaltika/product/f-00672/;;;
2800;product;F-00035XX;http://artibaltika/product/f-00807/;;;
2801;product;F-00441XX;http://artibaltika/product/f-00949/;;;
2802;product;F-00642XX;http://artibaltika/product/f-00513/;;;
2803;product;F-00024XX;http://artibaltika/product/f-00123/;;;
2804;product;F-00396XX;http://artibaltika/product/f-00748/;;;
2805;product;F-00283;http://artibaltika/product/f-00526/;;;
2806;product;F-01010;http://artibaltika/product/f-00938/;;;
2807;product;F-00304;http://artibaltika/product/f-00739x/;;;
2808;product;F-00333;http://artibaltika/product/f-00440x/;;;
2809;product;F-00381;http://artibaltika/product/f-00018x/;;;
2810;product;F-00889;http://artibaltika/product/f-00035x/;;;
2811;product;F-00219;http://artibaltika/product/f-00441x/;;;
2812;product;F-00670;http://artibaltika/product/f-00642x/;;;
2813;product;F-00806;http://artibaltika/product/f-00016x/;;;
2814;product;F-00948;http://artibaltika/product/f-00034x/;;;
2815;product;F-00494;http://artibaltika/product/f-00024x/;;;
2816;product;F-01410;http://artibaltika/product/f-00396x/;;;
2817;product;F-00220;http://artibaltika/product/f-01179x/;;;
2818;product;F-00223XX;http://artibaltika/product/f-00402x/;;;
2819;product;F-00807;http://artibaltika/product/f-00499x/;;;
2820;product;F-00949;http://artibaltika/product/f-00225x/;;;
2821;product;F-00221;http://artibaltika/product/f-00292x/;;;
2823;product;F-00222;http://artibaltika/product/f-00901/;;;
2825;product;F-00512;http://artibaltika/product/f-00865/;;;
2826;product;F-00672;http://artibaltika/product/f-00739/;;;
2827;product;F-00797;http://artibaltika/product/f-00440/;;;
2828;product;F-00513;http://artibaltika/product/f-00089x/;;;
2829;product;F-00123;http://artibaltika/product/f-00028xx/;;;
2830;product;F-00748;http://artibaltika/product/f-00097/;;;
2831;product;F-00526;http://artibaltika/product/f-00018/;;;
2832;product;F-00938;http://artibaltika/product/f-00035/;;;
2833;product;F-0000B;http://artibaltika/product/f-00441/;;;
2834;product;F-00440X;http://artibaltika/product/f-00642/;;;
2835;product;F-00739X;http://artibaltika/product/f-00016/;;;
2836;product;F-00018X;http://artibaltika/product/f-00034/;;;
2837;product;F-00035X;http://artibaltika/product/f-00012/;;;
2838;product;F-00441X;http://artibaltika/product/f-00012m/;;;
2839;product;F-00642X;http://artibaltika/product/f-00024/;;;
2840;product;F-00016X;http://artibaltika/product/f-00024m/;;;
2841;product;F-00034X;http://artibaltika/product/f-00396/;;;
2842;product;F-00024X;http://artibaltika/product/f-00396m/;;;
2843;product;F-00396X;http://artibaltika/product/f-01179/;;;
2844;product;F-01179X;http://artibaltika/product/f-01179m/;;;
2845;product;F-00402X;http://artibaltika/product/f-00194/;;;
2846;product;F-00499X;http://artibaltika/product/f-00916/;;;
2847;product;F-00225X;http://artibaltika/product/f-00360xx/;;;
2848;product;F-00292X;http://artibaltika/product/f-00226xm/;;;
2849;product;F-00926X;http://artibaltika/product/f-00226xx/;;;
2850;product;F-00901;http://artibaltika/product/f-00223/;;;
2851;product;F-00019;http://artibaltika/product/f-00195/;;;
2852;product;F-00865;http://artibaltika/product/f-00402/;;;
2853;product;F-00440;http://artibaltika/product/f-00499/;;;
2854;product;F-00739;http://artibaltika/product/f-00090xx/;;;
2855;product;F-00089X;http://artibaltika/product/f-00224/;;;
2856;product;F-00028XX;http://artibaltika/product/f-00292/;;;
2857;product;F-00097;http://artibaltika/product/f-00292m/;;;
2858;product;F-00018;http://artibaltika/product/f-00926/;;;
2859;product;F-00035;http://artibaltika/product/f-00225/;;;
2860;product;F-00441;http://artibaltika/product/f-00225m/;;;
2861;product;F-00642;http://artibaltika/product/f-00079/;;;
2862;product;F-00016;http://artibaltika/product/f-00082/;;;
2863;product;F-00034;http://artibaltika/product/f-00032/;;;
2864;product;F-00012;http://artibaltika/product/f-00036/;;;
2865;product;F-00024;http://artibaltika/product/f-00118/;;;
2866;product;F-00396;http://artibaltika/product/f-00758/;;;
2867;product;F-01179;http://artibaltika/product/f-01065/;;;
2868;product;F-00012M;http://artibaltika/product/f-00086/;;;
