"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Description","Excerpt","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","File Download","Download Limit","Download Expiry","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","Product URL","Button Text","Purchase Note","Product Status","Comment Status"
,,"2634","49","F-00741","f-00741","http://test6.isite39.ru/?????/f-00741/","TOYOTA",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","78","In Stock","No","No",,,,,,"Publish","Open"
,,"2635","50","F-00421X","f-00421x","http://test6.isite39.ru/?????/f-00421x/","Ремонтный размер",,,"Catalog & Search","No","No","No","90",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","78","In Stock","No","No",,,,,,"Publish","Open"
,,"2636","51","F-00185","f-00185","http://test6.isite39.ru/?????/f-00185/","NISSAN",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","383","In Stock","No","No",,,,,,"Publish","Open"
,,"2637","52","F-00464","f-00464","http://test6.isite39.ru/?????/f-00464/","CHRYSLER",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","384","In Stock","No","No",,,,,,"Publish","Open"
,,"2638","53","F-00484X","f-00484x","http://test6.isite39.ru/?????/f-00484x/","Ремонтный размер",,,"Catalog & Search","No","No","No","90",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","398","In Stock","No","No",,,,,,"Publish","Open"
,,"2639","54","F-00561X","f-00561x","http://test6.isite39.ru/?????/f-00561x/","Ремонтный размер",,,"Catalog & Search","No","No","No","90",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","47","In Stock","No","No",,,,,,"Publish","Open"
,,"2640","55","F-00136","f-00136","http://test6.isite39.ru/?????/f-00136/","MITSUBISHI",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","94","In Stock","No","No",,,,,,"Publish","Open"
,,"2641","56","F-00657","f-00657","http://test6.isite39.ru/?????/f-00657/","ISUZU",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","94","In Stock","No","No",,,,,,"Publish","Open"
,,"2642","57","F-00189","f-00189","http://test6.isite39.ru/?????/f-00189/","NISSAN, MAZDA",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","103","In Stock","No","No",,,,,,"Publish","Open"
,,"2643","58","F-00395","f-00395","http://test6.isite39.ru/?????/f-00395/","SUZUKI, HONDA",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","103","In Stock","No","No",,,,,,"Publish","Open"
