"Product SKU","Product Name","Price","Quantity","size","tcs","tip","marka","god","baltika","naznachenie","primmenenie"
"O-02943A","O-02943A","60","20","68*74*3","","O-Ring","","","","",""
"O-02770","O-02770","40","20","68*72*2","","O-Ring","","","","",""
"O-02782A","O-02782A","60","20","67*71*2","","O-Ring","","","","",""
"O-02864B","O-02864B","60","20","66*71*2.5","","O-Ring","","","","",""
"O-02782","O-02782","60","20","66*70*2","","O-Ring","","","","",""
"O-02942","O-02942","40","20","65*71*3","","O-Ring","","","","",""
"O-02781A","O-02781A","40","20","65*69*2","","O-Ring","","","","",""
"O-03042","O-03042","80","20","64*72*4","","O-Ring","","","","",""
"L-10029","L-10029","100","28","24*25.4*13","7831 040 109","ПОДЖИМ (ZF)","","","","",""
"O-02941A","O-02941A","60","20","64*70*3","","O-Ring","","","","",""
"O-02781","O-02781","60","20","64*68*2","","O-Ring","","","","",""
"O-02780A","O-02780A","40","20","63*67*2","","O-Ring","","","","",""
"O-02692","O-02692","60","20","63*66*1.5","","O-Ring","","","","",""
"O-02940A","O-02940A","40","20","62*68*3","","O-Ring","","","","",""
"O-02863A","O-02863A","60","20","62*67*2.5","","O-Ring","","","","",""
"O-02779A","O-02779A","60","20","61*65*2","","O-Ring","","","","",""
"O-02939A","O-02939A","60","20","60*66*3","","O-Ring","","","","",""
"O-02862B","O-02862B","40","20","60*65*2.5","","O-Ring","","","","",""
"O-02779","O-02779","40","20","60*64*2","","O-Ring","","","","",""
"O-02904","O-02904","20","20","6*12*3","","O-Ring","","","","",""
"O-02708","O-02708","20","20","6*10*2","","O-Ring","","","","",""
"O-02615","O-02615","20","20","6*9*1.5","","O-Ring","","","","",""
"O-02939","O-02939","60","20","59*65*3","","O-Ring","","","","",""
"O-02862A","O-02862A","40","20","59*64*2.5","","O-Ring","","","","",""
"O-02778A","O-02778A","80","20","59*63*2","","O-Ring","","","","",""
"O-02938A","O-02938A","40","20","58*64*3","","O-Ring","","","","",""
"O-02760","O-02760","60","20","58*62*2","","O-Ring","","","","",""
"O-02938","O-02938","60","20","57*63*3","","O-Ring","","","","",""
"O-02861B","O-02861B","40","20","57*62*2.5","","O-Ring","","","","",""
"O-02778","O-02778","40","20","57*61*2","","O-Ring","","","","",""
"O-02937A","O-02937A","60","20","56*62*3","","O-Ring","","","","",""
"O-02861A","O-02861A","60","20","56*61*2.5","","O-Ring","","","","",""
"O-02937","O-02937","40","20","55*61*3","","O-Ring","","","","",""
"O-02777A","O-02777A","40","20","55*59*2","","O-Ring","","","","",""
"O-03045","O-03045","80","20","54*62*4","","O-Ring","","","","",""
"O-02935A","O-02935A","40","20","54*60*3","","O-Ring","","","","",""
"O-02757","O-02757","40","20","54*58*2","","O-Ring","","","","",""
"O-02936A","O-02936A","60","20","53*59*3","","O-Ring","","","","",""
"O-02777","O-02777","40","20","53*57*2","","O-Ring","","","","",""
"O-02936","O-02936","60","20","52*58*3","","O-Ring","","","","",""
"O-02752","O-02752","40","20","52*56*2","","O-Ring","","","","",""
"O-03041","O-03041","60","20","50*58*4","","O-Ring","","","","",""
"O-02934","O-02934","40","20","50*56*3","","O-Ring","","","","",""
