"sku","name","price","q"
1156,"F-00057XA",200,50
754,"F-00057XX",200,41
145,"F-00058",70,0
968,"F-00062",100,80
969,"F-00062M",200,194
938,"F-00062X",200,258
921,"F-00062XX",200,49
134,"F-00063",70,10
125,"F-00063X",100,48
205,"F-00069",100,50
1142,"F-00070",200,347
488,"F-00070X",200,166
541,"F-00071",200,213
474,"F-00071X",200,284
519,"F-00072",200,335
468,"F-00072X",200,48
936,"F-00073",200,121
2,"F-00074",100,248
394,"F-00077",200,324
332,"F-00077X",200,362
380,"F-00078",100,89
303,"F-00079",200,18
37,"F-00080",70,85
912,"F-00081",100,105
304,"F-00082",100,293
311,"F-00086",100,157
112,"F-00087",70,25
848,"F-00088",100,0
371,"F-00089",100,670
270,"F-00089X",100,190
428,"F-00090",200,76
429,"F-00090M",200,183
1160,"F-00090X",200,167
296,"F-00090XX",200,181
1055,"F-00091",200,443
544,"F-00093",200,120
574,"F-00094",200,237
494,"F-00094X",200,129
402,"F-00095",200,109
398,"F-00095M",200,90
333,"F-00095X",200,96
563,"F-00096",100,118
272,"F-00097",100,93
210,"F-00098",200,315
461,"F-00099",100,13
158,"F-00100",100,148
157,"F-00100A",100,55
740,"F-00101",100,92
5,"F-00102",200,245
1065,"F-00103",200,61
1066,"F-00103M",200,55
1039,"F-00103X",200,66
166,"F-00104",100,174
579,"F-00106",200,23
495,"F-00106X",200,0
537,"F-00107",200,193
472,"F-00107X",200,142
163,"F-00108",100,33
165,"F-00109",100,331
1138,"F-00109X",100,442
76,"F-00110",70,562
78,"F-00111",70,7
908,"F-00113",100,584
82,"F-00114",70,50
56,"F-00114X",100,26
48,"F-00117",70,47
307,"F-00118",100,227
589,"F-00120",200,186
590,"F-00120M",200,131
501,"F-00120X",200,57
403,"F-00121",200,35
399,"F-00121M",200,179
334,"F-00121X",200,75
31,"F-00122",200,92
244,"F-00123",200,511
201,"F-00123X",200,110
662,"F-00124",100,58
556,"F-00126",200,409
567,"F-00126A",200,76
813,"F-00128",200,384
750,"F-00128X",200,424
571,"F-00129",200,53
492,"F-00129X",200,31
312,"F-00130",100,217
846,"F-00132",100,106
811,"F-00133",200,95
743,"F-00133X",200,48
847,"F-00134",100,116
527,"F-00135",200,215
469,"F-00135X",200,82
63,"F-00136",70,113
133,"F-00138",100,160
882,"F-00139",200,0
883,"F-00139X",200,13
816,"F-00139M",200,37
797,"F-00139X1",200,343
100,"F-00140",100,101
652,"F-00141",100,207
864,"F-00142",100,135
107,"F-00143",100,21
106,"F-00144",100,0
108,"F-00145",100,22
119,"F-00146",100,67
21,"F-00148",100,87
15,"F-00149",100,22
40,"F-00152",70,73
147,"F-00153",100,148
28,"F-00154",70,243
120,"F-00158",100,139
121,"F-00163",100,138
70,"F-00163X",100,233
50,"F-00164",100,208
30,"F-00165",100,221
152,"F-00166",100,90
170,"F-00168",100,177
852,"F-00169",100,92
456,"F-00171",200,5
459,"F-00171A",200,299
880,"F-00172",200,122
1058,"F-00176",200,296
6,"F-00178",200,241
36,"F-00182",70,219
45,"F-00183",70,15
102,"F-00184",100,146
53,"F-00185",70,279
159,"F-00186",100,143
156,"F-00186A",100,24
88,"F-00187",70,141
65,"F-00189",70,229
167,"F-00191",100,197
206,"F-00193",100,52
287,"F-00194",100,146
293,"F-00195",100,67
525,"F-00196",100,95
381,"F-00198",200,271
323,"F-00198X",200,298
532,"F-00199",100,196
891,"F-00204",100,0
1026,"F-00205",200,235
667,"F-00206",100,1267
1059,"F-00207",200,25
1038,"F-00207X",200,0
987,"F-00208",200,119
970,"F-00209",100,192
1057,"F-00211",200,463
1148,"F-00211X",200,296
153,"F-00216",200,57
146,"F-00217",200,0
226,"F-00219",200,31
186,"F-00219X",200,96
232,"F-00220",200,59
193,"F-00220X",200,46
236,"F-00221",200,0
237,"F-00221M",200,21
196,"F-00221X",200,55
238,"F-00222",200,0
239,"F-00222M",200,20
197,"F-00222X",200,60
292,"F-00223",200,106
233,"F-00223XX",200,236
297,"F-00224",200,220
298,"F-00225",200,79
300,"F-00225M",200,111
262,"F-00225X",200,94
388,"F-00226",200,288
389,"F-00226M",200,118
324,"F-00226X",200,75
289,"F-00226XM",200,21
