"sku","name","price","q"
996,"F-01125",200,183
955,"F-01125X",200,109
436,"F-01129",200,115
350,"F-01129X",200,155
1168,"F-01130",200,148
703,"F-01138",200,0
639,"F-01138X",200,0
1112,"F-01139",200,358
67,"F-01140",70,405
681,"F-01141",200,241
1121,"F-01142",200,250
1119,"F-01142X",200,245
1117,"F-01142XX",200,84
169,"F-01148",100,62
464,"F-01150",200,173
889,"F-01151",200,135
801,"F-01151X",200,25
154,"F-01153",100,99
718,"F-01154",200,141
650,"F-01154X",200,151
370,"F-01157",100,215
397,"F-01158",100,147
141,"F-01159",70,3
132,"F-01159X",100,46
543,"F-01166",200,197
155,"F-01167",100,95
672,"F-01170",200,98
614,"F-01170X",200,93
1139,"F-01171",100,407
564,"F-01173",100,138
555,"F-01175",200,194
487,"F-01175X",200,84
714,"F-01176",200,84
646,"F-01176X",200,5
843,"F-01177",200,248
784,"F-01177X",200,208
1104,"F-01178",200,286
1096,"F-01178X",200,133
282,"F-01179",200,21
286,"F-01179M",200,95
259,"F-01179X",200,100
553,"F-01222",200,202
1009,"F-01223",200,315
1141,"F-01332",100,436
1145,"F-01340",100,276
1143,"F-01344",200,418
1149,"F-01347",200,483
1164,"F-01569",200,258
2001,"P21004",100,2400
