"Product SKU";"Product Name";"p";"q"
740;"F-00101";"60   ";67
5;"F-00102";"120   ";98
1065;"F-00103";"120   ";16
1066;"F-00103M";"120   ";60
1039;"F-00103X";"120   ";88
166;"F-00104";"60   ";20
579;"F-00106";"120   ";48
495;"F-00106X";"120   ";0
537;"F-00107";"120   ";206
472;"F-00107X";"120   ";148
163;"F-00108";"60   ";21
165;"F-00109";"60   ";500
1138;"F-00109X";"60   ";465
76;"F-00110";"40   ";744
78;"F-00111";"40   ";79
908;"F-00113";"60   ";784
82;"F-00114";"40   ";145
56;"F-00114X";"60   ";45
48;"F-00117";"40   ";67
307;"F-00118";"60   ";284
589;"F-00120";"120   ";157
590;"F-00120M";"120   ";142
501;"F-00120X";"120   ";85
403;"F-00121";"120   ";137
399;"F-00121M";"120   ";207
334;"F-00121X";"120   ";52
31;"F-00122";"120   ";108
244;"F-00123";"120   ";240
201;"F-00123X";"120   ";112
662;"F-00124";"60   ";0
556;"F-00126";"120   ";430
567;"F-00126A";"120   ";81
813;"F-00128";"120   ";246
750;"F-00128X";"120   ";213
571;"F-00129";"120   ";100
492;"F-00129X";"120   ";37
312;"F-00130";"60   ";0
846;"F-00132";"60   ";117
811;"F-00133";"120   ";400
743;"F-00133X";"120   ";180
847;"F-00134";"60   ";138
527;"F-00135";"120   ";103
469;"F-00135X";"120   ";5
63;"F-00136";"40   ";127
133;"F-00138";"60   ";180
882;"F-00139";"120   ";228
883;"F-00139M";"120   ";82
816;"F-00139X1";"120   ";72
797;"F-00139Х";"120   ";336
100;"F-00140";"60   ";168
652;"F-00141";"60   ";250
864;"F-00142";"60   ";90
107;"F-00143";"60   ";51
106;"F-00144";"60   ";0
108;"F-00145";"60   ";38
119;"F-00146";"60   ";77
21;"F-00148";"60   ";103
15;"F-00149";"60   ";46
40;"F-00152";"40   ";86
147;"F-00153";"60   ";3
28;"F-00154";"40   ";264
120;"F-00158";"60   ";0
121;"F-00163";"60   ";0
70;"F-00163X";"60   ";241
50;"F-00164";"60   ";43
30;"F-00165";"60   ";250
152;"F-00166";"60   ";1
170;"F-00168";"60   ";106
852;"F-00169";"60   ";166
456;"F-00171";"120   ";18
459;"F-00171A";"120   ";3
880;"F-00172";"120   ";130
1058;"F-00176";"120   ";0
6;"F-00178";"120   ";120
36;"F-00182";"40   ";220
45;"F-00183";"40   ";21
102;"F-00184";"60   ";235
53;"F-00185";"40   ";288
159;"F-00186";"60   ";301
156;"F-00186A";"60   ";60
88;"F-00187";"40   ";30
65;"F-00189";"40   ";117
167;"F-00191";"60   ";126
206;"F-00193";"60   ";97
287;"F-00194";"60   ";164
293;"F-00195";"60   ";105
525;"F-00196";"60   ";104
381;"F-00198";"120   ";315
323;"F-00198X";"120   ";0
532;"F-00199";"60   ";207
891;"F-00204";"60   ";209
1026;"F-00205";"120   ";268
667;"F-00206";"60   ";181
1059;"F-00207";"120   ";42
1038;"F-00207X";"120   ";0
987;"F-00208";"120   ";123
970;"F-00209";"60   ";245
1057;"F-00211";"120   ";475
1148;"F-00211X";"120   ";298
153;"F-00216";"120   ";69
146;"F-00217";"120   ";24
226;"F-00219";"120   ";43
186;"F-00219X";"120   ";0
232;"F-00220";"120   ";73
193;"F-00220X";"120   ";48
236;"F-00221";"120   ";0
237;"F-00221M";"120   ";37
196;"F-00221X";"120   ";0
238;"F-00222";"120   ";4
239;"F-00222M";"120   ";40
197;"F-00222X";"120   ";0
292;"F-00223";"120   ";120
233;"F-00223XX";"120   ";240
297;"F-00224";"120   ";245
298;"F-00225";"120   ";94
300;"F-00225M";"120   ";28
262;"F-00225X";"120   ";0
388;"F-00226";"120   ";0
389;"F-00226M";"120   ";130
324;"F-00226X";"120   ";12
289;"F-00226XM";"120   ";6
290;"F-00226XX";"120   ";38
406;"F-00227";"120   ";20
437;"F-00228";"120   ";110
351;"F-00228X";"120   ";38
425;"F-00229";"120   ";68
420;"F-00229M";"120   ";159
341;"F-00229X";"120   ";30
443;"F-00230";"120   ";11
438;"F-00230M";"120   ";110
352;"F-00230X";"120   ";75
446;"F-00231";"120   ";65
357;"F-00231X";"120   ";40
452;"F-00232";"120   ";61
