"Product SKU";"Product Name";"Цена";"Остаток"
94;"F-00040";"50   ";93
1131;"F-00041";"80   ";467
899;"F-00045";"150   ";315
990;"F-00046";"80   ";426
661;"F-00047";"80   ";75
396;"F-00048";"80   ";111
44;"F-00051";"50   ";10
14;"F-00052";"50   ";182
142;"F-00054";"50   ";150
876;"F-00057";"150   ";350
796;"F-00057X";"150   ";162
1156;"F-00057XA";"150   ";50
754;"F-00057XX";"150   ";45
145;"F-00058";"50   ";59
968;"F-00062";"80   ";98
969;"F-00062M";"150   ";241
938;"F-00062X";"150   ";310
921;"F-00062XX";"150   ";51
134;"F-00063";"50   ";185
125;"F-00063X";"80   ";50
205;"F-00069";"80   ";74
1142;"F-00070";"150   ";377
488;"F-00070X";"150   ";125
541;"F-00071";"150   ";237
474;"F-00071X";"150   ";290
519;"F-00072";"150   ";353
468;"F-00072X";"150   ";55
936;"F-00073";"150   ";127
2;"F-00074";"80   ";250
394;"F-00077";"150   ";327
332;"F-00077X";"150   ";364
380;"F-00078";"80   ";116
303;"F-00079";"150   ";24
37;"F-00080";"50   ";95
912;"F-00081";"80   ";59
304;"F-00082";"80   ";320
311;"F-00086";"80   ";240
112;"F-00087";"50   ";58
848;"F-00088";"80   ";44
371;"F-00089";"80   ";710
270;"F-00089X";"80   ";195
428;"F-00090";"150   ";81
429;"F-00090M";"150   ";206
1160;"F-00090X";"150   ";180
296;"F-00090XX";"150   ";194
1055;"F-00091";"150   ";445
544;"F-00093";"150   ";144
574;"F-00094";"150   ";245
494;"F-00094X";"150   ";145
402;"F-00095";"150   ";127
398;"F-00095M";"150   ";135
333;"F-00095X";"150   ";105
563;"F-00096";"80   ";150
272;"F-00097";"80   ";102
210;"F-00098";"150   ";333
461;"F-00099";"80   ";27
158;"F-00100";"80   ";207
157;"F-00100A";"80   ";59
740;"F-00101";"80   ";50
5;"F-00102";"150   ";245
1065;"F-00103";"150   ";70
1066;"F-00103M";"150   ";75
1039;"F-00103X";"150   ";83
166;"F-00104";"80   ";200
579;"F-00106";"150   ";35
495;"F-00106X";"150   ";0
537;"F-00107";"150   ";200
472;"F-00107X";"150   ";148
163;"F-00108";"80   ";40
165;"F-00109";"80   ";396
1138;"F-00109X";"80   ";450
76;"F-00110";"50   ";657
78;"F-00111";"50   ";50
908;"F-00113";"80   ";704
82;"F-00114";"50   ";170
56;"F-00114X";"80   ";35
