"Product SKU","Product Name","Price","Quantity","Product size,Product tip,Product tcs"
"830","F-00540","95","248",""
"829","F-00950","95","132",""
"828","F-00871","95","71",""
"827","F-00270","95","64",""
"826","F-00962","95","73",""
"825","F-00960","95","75",""
"824","F-00914","95","75",""
"823","F-00270M","95","33",""
"822","F-00268","95","54",""
"821","F-00268A","95","199",""
"820","F-00814X","120","379",""
"819","F-00900","95","146",""
"818","F-00809","95","53",""
"817","F-00698","95","499",""
"816","F-00139X1","120","86",""
"815","F-00735","95","214",""
"814","F-00734","95","417",""
"813","F-00128","95","456",""
"812","F-00765","95","994",""
"811","F-00133","95","642",""
"810","F-00985","60","33",""
"809","F-00817","60","31",""
"808","F-01023X","120","62",""
"807","F-00869X","120","140",""
"806","F-00706X","120","293",""
"805","F-00270AX","120","232",""
"804","F-00961X","120","62",""
"803","F-00743X","120","6",""
"802","F-00269X","120","2",""
"801","F-01151Х","120","24",""
"800","F-00749Х","120","19",""
"799","F-00662Х","120","48",""
"798","F-00546Х","120","51",""
"797","F-00139Х","120","349",""
"796","F-00057X","120","209",""
"795","F-00022X","120","220",""
"794","F-00754X","120","59",""
"793","F-00492X","120","94",""
"792","F-01048X","120","65",""
"791","F-00589X","120","90",""
"790","F-00026X","120","60",""
"789","F-00378X","120","477",""
"788","F-00584X","120","20",""
"787","F-00409X","120","8",""
"786","F-00996X","120","26",""
"785","F-00970X","120","37",""
"784","F-01177X","120","225",""
"783","F-00810X","120","239",""
"782","F-00931","95","116",""
"781","F-01054","95","135",""
"780","F-00986","95","1",""
"779","F-00825","95","83",""
"778","F-00752XX","120","59",""
"777","F-00671","95","77",""
"776","F-00951X","120","91",""
"775","F-00872X","120","99",""
"774","F-00624X","120","88",""
"773","F-00838","95","52",""
"772","F-01090XX","120","39",""
"771","F-00766X","120","50",""
"770","F-00375X","120","49",""
"769","F-01028","95","62",""
"768","F-01029","95","282",""
"767","F-01045X","120","12",""
"766","F-00847X","120","18",""
"765","F-00267","95","457",""
"764","F-00266","95","280",""
"763","F-00540X","120","69",""
"762","F-00270X","120","261",""
"761","F-00960X","120","119",""
"760","F-00914X","120","102",""
"759","F-00877","95","246",""
"758","F-00265","95","146",""
"757","F-00839","95","90",""
"756","F-00821","95","95",""
"755","F-00698X","95","116",""
"754","F-00057XX","120","19",""
"753","F-00022XX","120","0",""
"752","F-00735X","120","62",""
"751","F-00734X","120","490",""
"750","F-00128X","120","238",""
"749","F-00492XX","120","184",""
"748","F-00589XX","120","65",""
"747","F-00378XX","120","272",""
"746","F-01048XX","120","240",""
"745","F-00765X","120","230",""
"743","F-00133X","120","228",""
"742","F-00811","60","161",""
"741","F-00408","60","1182",""
"740","F-00101","60","384",""
"739","F-00367","60","142",""
"738","F-00931X","120","45",""
"737","F-01054X","120","27",""
"736","F-00986X","120","27",""
"735","F-00825X","120","27",""
"734","F-00671X","120","27",""
"733","F-00838X","120","83",""
"732","F-01028X","120","64",""
"731","F-00922","95","73",""
"730","F-00683","95","100",""
"729","F-00267X","95","93",""
"728","F-00264","95","95",""
"727","F-00263","95","87",""
"726","F-00266X","120","25",""
"725","F-00540XX","120","404",""
"724","F-00877X","120","341",""
"723","F-00265X","120","288",""
"722","F-00839X","120","144",""
"721","F-00821X","120","148",""
"720","F-00859","60","420",""
"719","F-00826","95","292",""
"718","F-01154","95","10",""
"717","F-01019","95","25",""
"716","F-00990","95","222",""
"715","F-00930","95","237",""
"714","F-01176","95","137",""
"713","F-00881","95","141",""
"712","F-00400","95","118",""
"711","F-00780","95","42",""
"710","F-00832","95","460",""
"709","F-00376","95","409",""
"708","F-00259M","95","461",""
"707","F-00259","95","67",""
"706","F-00544A","95","204",""
"705","F-00994","95","55",""
"704","F-00813","95","50",""
"703","F-01138","95","68",""
"702","F-00922X","95","68",""
"701","F-00683X","95","88",""
"700","F-00544","95","40",""
"699","F-00501","95","0",""
"698","F-00952","95","200",""
"697","F-00542M","95","190",""
"696","F-00475","95","169",""
"695","F-00542A","95","26",""
"694","F-00542","95","0",""
"693","F-00257","95","290",""
"692","F-00447","95","59",""
"691","F-00401","95","16",""
"690","F-00401A","95","48",""
"689","F-01107","95","181",""
"688","F-00934","95","116",""
"687","F-00695","95","96",""
"686","F-00583","95","126",""
"685","F-00592","95","185",""
"684","F-00262M","95","181",""
"683","F-00262","95","17",""
"682","F-00258","95","160",""
"681","F-01141","95","260",""
"680","F-00380","95","219",""
"679","F-00694","95","219",""
"678","F-00535","95","428",""
"677","F-00812","95","298",""
"676","F-00545","95","130",""
"675","F-00541","95","30",""
"674","F-00371","95","116",""
"673","F-00261","95","123",""
"672","F-01170","95","64",""
"671","F-00923","95","73",""
"670","F-00545M","95","123",""
"669","F-00371M","95","101",""
"668","F-00261M","95","39",""
