"Product SKU","Product Name","Price","Quantity","size"
"O-03015","O-03015","40","20","25*33*4"
"O-02911","O-02911","20","20","25*31*3"
"O-02716","O-02716","20","0","25*29*2"
"O-02611","O-02611","20","20","25*28*1,5"
"O-02543","O-02543","20","19","25*27*1"
"O-03020","O-03020","40","100","24*32*4"
"O-02910","O-02910","20","20","24*30*3"
"O-02830","O-02830","20","449","32*37*2.5"
"O-02821","O-02821","20","435","30*35*2.5"
"O-02852A","O-02852A","20","415","28*33*2.5"
"O-02851B","O-02851B","20","414","27*32*2.5"
"O-02851A","O-02851A","20","468","26*31*2.5"
"O-02820","O-02820","20","367","25*30*2.5"
"O-02849","O-02849","20","444","24*29*2.5"
"O-02762","O-02762","20","19","24*28*2"
"O-02610","O-02610","20","20","24*27*1.5"
"O-02542","O-02542","20","20","24*26*1"
"O-02920A","O-02920A","20","20","23*29*3"
"O-02847","O-02847","20","238","23*28*2.5"
"O-02759","O-02759","20","20","23*27*2"
"O-02541","O-02541","20","20","23*25*1"
"O-03010","O-03010","20","20","22*30*4"
"O-02915","O-02915","20","20","22*28*3"
"O-02844","O-02844","20","200","22.5*27*2.5"
"O-02755","O-02755","20","19","22*26*2"
"O-02644","O-02644","20","20","22*25*1.5"
"O-02753","O-02753","20","16","21*25*2"
"O-02642","O-02642","20","20","21*24*1.5"
"O-02539","O-02539","20","20","21*23*1"
"O-03012","O-03012","20","100","20*28*4"
"O-02919A","O-02919A","20","19","20*26*3"
"O-02841","O-02841","20","20","20*25*2.5"
"O-02749","O-02749","20","16","20*24*2"
"O-02640","O-02640","20","20","20*23*1.5"
"O-02538","O-02538","20","19","20*22*1"
"O-02602","O-02602","20","16","2.5*5.5*1.5"
"O-02601","O-02601","20","12","2*5*1.5"
"O-03011","O-03011","20","20","19*27*4"
"O-02919","O-02919","20","20","19*25*3"
"O-02817","O-02817","20","18","19*24*2,5"
"O-02743","O-02743","20","20","19*23*2"
"O-02609","O-02609","20","20","19*22*1.5"
"O-02536","O-02536","20","20","19*21*1"
"O-03009","O-03009","20","20","18*26*4"
"O-02918A","O-02918A","20","19","18*24*3"
"O-02835","O-02835","20","20","18*23*2.5"
"O-02741","O-02741","20","20","18*22*2"
"O-02637","O-02637","20","20","18*21*1.5"
"O-02535","O-02535","20","20","18*20*1"
"O-03008","O-03008","20","19","17*25*4"
"O-02918","O-02918","20","18","17*23*3"
"O-02831","O-02831","20","20","17*22*2.5"
"O-02715","O-02715","20","20","17*21*2"
"O-02635","O-02635","20","20","17*20*1.5"
"O-02533","O-02533","20","20","17*19*1"
"O-03007","O-03007","20","0","16*24*4"
"O-02917","O-02917","20","20","16*22*3"
"O-02828","O-02828","20","20","16*21*2.5"
"O-02739","O-02739","20","10","16*20*2"
"O-02607","O-02607","20","20","16*19*1.5"
"O-02531","O-02531","20","20","16*18*1"
"O-03006","O-03006","20","20","15*23*4"
"O-02916","O-02916","20","20","15*21*3"
"O-02816","O-02816","20","20","15*20*2.5"
"O-02737","O-02737","20","19","15*19*2"
"O-02633","O-02633","20","20","15*18*1.5"
"O-02529","O-02529","20","20","15*17*1"
"O-02914","O-02914","20","20","14*20*3"
"O-02826","O-02826","20","60","14*19*2.5"
"O-02735","O-02735","20","19","14*18*2"
"O-02631","O-02631","20","20","14*17*1.5"
"O-02527","O-02527","20","20","14*16*1"
"O-02913","O-02913","20","20","13*19*3"
"O-02813","O-02813","20","900","13*18*2.5"
"O-02733","O-02733","20","19","13*17*2"
"O-02629","O-02629","20","20","13*16*1.5"
"O-02525","O-02525","20","19","13*15*1"
"O-02971","O-02971","100","100","120*126*3"
"O-03003","O-03003","20","19","12*20*4"
"O-02912","O-02912","20","20","12*18*3"
"O-02822","O-02822","20","65","12*17*2.5"
"O-02728","O-02728","20","100","12*16*2"
"O-02627","O-02627","20","16","12*15*1.5"
"О-02523","О-02523","20","15","12*14*1"
"O-02968A","O-02968A","80","20","115*121*3"
"O-02966","O-02966","120","20","110*116*3"
"O-02790","O-02790","120","20","110*114*2"
"O-03002","O-03002","20","19","11*19*4"
"O-02810","O-02810","20","20","11*16*2.5"
"O-02713","O-02713","20","0","11*15*2"
"O-02625","O-02625","20","16","11*14*1.5"
"O-02962A","O-02962A","100","20","105*111*3"
"O-02874B","O-02874B","100","20","105*110*2.5"
"O-02962","O-02962","100","20","104,5*110,5*3"
"O-02960","O-02960","80","20","100*106*3"
"O-02873B","O-02873B","80","15","100*105*2.5"
"O-02796A","O-02796A","80","15","100*104"
"O-03001","O-03001","20","100","10*18*4"
"O-02908","O-02908","20","100","10*16*3"
"O-02812","O-02812","20","19","10*15*2.5"
"O-02712","O-02712","20","13","10*14*2"
