"Product SKU","Product Name","Type","Price","Quantity","size","tip"
"519","F-00072","Simple Product","340","509","25*33/37.5*6.7/8","6V3"
"518","F-0000C","Simple Product","340","433","25*28*3","L-RING"
"517","F-00911","Simple Product","300","132","24.97*37.54/41.24*4.2/7.4","6V2"
"516","F-00764","Simple Product","300","135","24.97*37.54/41.24*4.2/7.4","6V2"
"515","F-00015","Simple Product","300","85","24.97*37.54/41.24*4.2/7.4","6V2"
"514","F-00038M","Simple Product","340","195","24.97*37.54*7","7V1"
"513","F-00038","Simple Product","300","226","24.97*37.54*7","7V2"
"512","F-00014M","Simple Product","340","255","24.97*37.54*7","7V1"
"511","F-00014","Simple Product","300","140","24.97*37.54*7","7V2"
"510","F-00243X1","Simple Product","340","6","24.7*37.7*6.5 ","7V1"
"509","F-00038X1","Simple Product","340","1","24.7*37.7*6.5 ","7V1"
"508","F-00014X1","Simple Product","340","8","24.7*37.7*6.5 ","7V1"
"507","F-00242X","Simple Product","340","351","24.5*48*10","7V1"
"506","F-00377X","Simple Product","340","283","24.5*44*9","7V1"
"505","F-00714X","Simple Product","340","126","24.5*43*9","7V1"
"504","F-00518X","Simple Product","340","130","24.5*43*9","7V1"
"503","F-00293X","Simple Product","340","130","24.5*43*9","7V1"
"502","F-00241X","Simple Product","340","125","24.5*43*9","7V1"
"501","F-00120X","Simple Product","340","39","24.5*42.5*12","7V3"
"500","F-00534X","Simple Product","340","250","24.5*41.5*7.5 ","7V1"
"498","F-00669X","Simple Product","340","129","24.5*41*9","7V1"
"497","F-00288X","Simple Product","340","135","24.5*41*8","7V1"
"496","F-00935X","Simple Product","340","150","24.5*40*8","7V1"
"495","F-00106X","Simple Product","340","145","24.5*40*8","7V1"
"494","F-00094X","Simple Product","340","281","24.5*39.5*8.5","7V1"
"493","F-00246X","Simple Product","340","50","24.5*39.3*10/12.6","7V3"
"492","F-00129X","Simple Product","340","28","24.5*39.3*10/12.6","7V3"
