"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Description","Excerpt","Product Published","Product Modified","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","File Download","Download Limit","Download Expiry","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","Product URL","Button Text","Purchase Note","Product Status","Comment Status","size","tcs","tip","marka","god","baltika","naznachenie","primmenenie"
"","","2609","24","F-00556","f-00414","http://artibaltika/product/f-00414/","AUDI, WV","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","215","In Stock","No","No","","","","","","Publish","Open","17*29.9*7","P10622","1РМ","","","","",""
"","","2610","25","F-00356","f-00473","http://artibaltika/product/f-00473/","FIAT","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","348","In Stock","No","No","","","","","","Publish","Open","17*30*7","P04026","0M2","","","","",""
"","","2611","26","F-00414","f-00154","http://artibaltika/product/f-00154/","MAZDA","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","161","In Stock","No","No","","","","","","Publish","Open","17*30*7","P01735","1РМ","","","","",""
"","","2612","27","F-00473","f-00465","http://artibaltika/product/f-00465/","KIA","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","191","In Stock","No","No","","","","","","Publish","Open","17*30*7","P01735","1РМ","","","","",""
"","","2613","28","F-00154","f-00165","http://artibaltika/product/f-00165/","NISSAN","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","178","In Stock","No","No","","","","","","Publish","Open","17*32*7","P00706","1РМ","","","","",""
"","","2614","29","F-00465","f-00122","http://artibaltika/product/f-00122/","TOYOTA","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","220","In Stock","No","No","","","","","","Publish","Open","17*32*8.5","P05349","0AM2","","","","",""
"","","2615","30","F-00165","f-00687","http://artibaltika/product/f-00687/","TOYOTA, LEXUS","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","151","In Stock","No","No","","","","","","Publish","Open","17*34*8","P06079","1РМA","","","","",""
"","","2616","31","F-00122","f-00781x","http://artibaltika/product/f-00781x/","WV","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","300","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","142","In Stock","No","No","","","","","","Publish","Open","17*36*6.6","P02000","0MA","","","","",""
"","","2617","32","F-00687","f-00982","http://artibaltika/product/f-00982/","CHEVROLET","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","300","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","184","In Stock","No","No","","","","","","Publish","Open","17*36*6.6","P02000","0MA","","","","",""
"","","2618","33","F-00781X","f-00519","http://artibaltika/product/f-00519/","Ремонтный размер","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","262","In Stock","No","No","","","","","","Publish","Open","17,5*30*5/5.7 ","P07851","1РМ","","","","",""
