"Product ID","Product SKU","Product Name","Slug","Permalink","Price","Category","size"
"11833","1544007","1544007","1544007","http://artibaltika/product/1544007/","350","Пыльники рулевых реек","11.5*179*49"
"11812","1544015","1544015","1544015","http://artibaltika/product/1544015/","350","Пыльники рулевых реек","13.5*206*54.5"
"11811","449410","449410","449410","http://artibaltika/product/449410/","480","Пыльники рулевых реек","10*175*56"
"11810","452221","452221","452221","http://artibaltika/product/452221/","300","Пыльники рулевых реек","11*54*30"
"11808","1517005","1517005","1517005","http://artibaltika/product/1517005/","440","Пыльники рулевых реек","14*302*54"
"11806","1517007","1517007","1517007","http://artibaltika/product/1517007/","350","Пыльники рулевых реек","14*310*61"
"11805","1517003","1517003","1517003","http://artibaltika/product/1517003/","400","Пыльники рулевых реек","10*159*54.5"
"11804","1517009","1517009","1517009","http://artibaltika/product/1517009/","350","Пыльники рулевых реек","14.5*196*54"
"11803","466310","466310","466310","http://artibaltika/product/466310/","390","Пыльники рулевых реек","10.5*188*41"
"11802","476110","476110","476110","http://artibaltika/product/476110/","330","Пыльники рулевых реек","11*200*41"
"11801","474710","474710","474710","http://artibaltika/product/474710/","220","Пыльники рулевых реек","25*120*46"
"11800","466010S","466010S","466010s","http://artibaltika/product/466010s/","220","Пыльники рулевых реек","10*210*41"
"11798","466410","466410","466410","http://artibaltika/product/466410/","400","Пыльники рулевых реек","13*138*36"
"11796","461710","461710","461710","http://artibaltika/product/461710/","370","Пыльники рулевых реек","9*119*43"
"11792","466510","466510","466510","http://artibaltika/product/466510/","440","Пыльники рулевых реек","14.5*180*48"
"11789","461920","461920","461920","http://artibaltika/product/461920/","440","Пыльники рулевых реек","9*147*50"
"11787","1533021","1533021","1533021","http://artibaltika/product/1533021/","390","Пыльники рулевых реек","14*207*60.5"
"11785","448110","448110","448110","http://artibaltika/product/448110/","190","Пыльники рулевых реек","10*200*36.5"
"11783","1533019","1533019","1533019","http://artibaltika/product/1533019/","350","Пыльники рулевых реек","13*190*56"
"11781","1534003","1534003","1534003","http://artibaltika/product/1534003/","370","Пыльники рулевых реек","18*196*53"
"11780","1534007","1534007","1534007","http://artibaltika/product/1534007/","330","Пыльники рулевых реек","14*166*51"
"11778","465610","465610","465610","http://artibaltika/product/465610/","440","Пыльники рулевых реек","42*158*42"
"11777","465820","465820","465820","http://artibaltika/product/465820/","220","Пыльники рулевых реек","37*185*51"
"11775","465810","465810","465810","http://artibaltika/product/465810/","220","Пыльники рулевых реек","37*177*53"
"11758","461510","461510","461510","http://artibaltika/product/461510/","350","Пыльники рулевых реек","21*106*29"
"11767","466210","466210","466210","http://artibaltika/product/466210/","370","Пыльники рулевых реек","09*147*50"
"11766","461410","461410","461410","http://artibaltika/product/461410/","370","Пыльники рулевых реек","16*137*32"
"11765","461610","461610","461610","http://artibaltika/product/461610/","370","Пыльники рулевых реек","09.5*140*46"
"11764","T465110B","T465110B","t465110b","http://artibaltika/product/t465110b/","440","Пыльники рулевых реек","13*210*55"
"11763","T469020","T469020","t469020","http://artibaltika/product/t469020/","460","Пыльники рулевых реек","14*179*61"
"11762","T466110","T466110","t466110","http://artibaltika/product/t466110/","480","Пыльники рулевых реек","11*209*47"
"11761","T471610","T471610","t471610","http://artibaltika/product/t471610/","1300","Пыльники рулевых реек","13*185*38"
"11760","T471810","T471810","t471810","http://artibaltika/product/t471810/","250","Пыльники рулевых реек","14*148*47.5"
"11759","476410","476410","476410","http://artibaltika/product/476410/","350","Пыльники рулевых реек","10*156*43"
"11757","473710","473710","473710","http://artibaltika/product/473710/","420","Пыльники рулевых реек","10*105*40"
"11756","473810","473810","473810","http://artibaltika/product/473810/","440","Пыльники рулевых реек","66*98*53"
"11755","476610","476610","476610","http://artibaltika/product/476610/","420","Пыльники рулевых реек","09*177*50"
"11754","477920","477920","477920","http://artibaltika/product/477920/","440","Пыльники рулевых реек","17*240*51"
"11753","477910","477910","477910","http://artibaltika/product/477910/","390","Пыльники рулевых реек","17*207*50"
"11752","464310","464310","464310","http://artibaltika/product/464310/","900","Пыльники рулевых реек","53*475*58"
"11751","466820","466820","466820","http://artibaltika/product/466820/","420","Пыльники рулевых реек","09*160*41"
