"Order Items: SKU","Order Items: Product Name","Order Items: Quantity"
"61","F-00561X","4"
"70","F-00307","4"
"71","F-00313","4"
"72","F-00484","50"
"73","F-00459","10"
"92","F-00040","4"
"97","F-01105","4"
"99","F-00886","4"
"102","F-00607","4"
"103","F-00144","4"
"112","F-00895","4"
"113","F-00868","4"
"121","F-00915","4"
"130","F-00138","4"
"137","F-00978","10"
"142","F-00058","4"
"143","F-00217","4"
"147","F-00640","10"
"145","F-00502","10"
"150","F-00216","4"
"152","F-01167","4"
"155","F-00100","10"
"159","F-00667X","4"
"165","F-00547X","4"
"173","F-00605","4"
"174","F-00547","4"
"176","F-00494XX","4"
"180","F-00796X","4"
"179","F-00284X","4"
"183","F-00381X","4"
"187","F-00948X","4"
"188","F-00494X","4"
"189","F-00670AX","4"
"190","F-00220X","4"
"197","F-00797X","4"
"200","F-00284","4"
"205","F-00759","4"
"209","F-00796","4"
"212","F-00035XX","4"
"215","F-00024XX","4"
"227","F-00494","4"
"228","F-00670A","4"
"229","F-00220","4"
"247","F-00739X","4"
"257","F-00402X","4"
"259","F-00225X","4"
"268","F-00028XX","4"
"273","F-00642","4"
"270","F-00018","4"
"284","F-00194","4"
"287","F-00226XX","4"
"292","F-00499","4"
"293","F-00090XX","4"
"294","F-00224","4"
"311","F-00837","4"
"314","F-00028X","4"
"315","F-00285X","4"
"319","F-00831X","4"
"320","F-00198X","4"
"324","F-01021X","4"
"333","F-00830X","4"
"336","F-00612X","4"
"344","F-01092X","4"
"348","F-00228X","4"
"355","F-00917X","4"
"360","F-00426X","4"
"362","F-00234X","4"
"367","F-01157","10"
"368","F-00089","6"
"370","F-00285","4"
"374","F-00783","4"
"378","F-00198","4"
"388","F-00966","6"
"403","F-00227","4"
"425","F-00090","4"
"441","F-01117","4"
"452","F-00426","4"
"454","F-00818","4"
"457","F-00234","4"
"460","F-00712","4"
"470","F-00423X","4"
"471","F-00071X","4"
"487","F-00448X","4"
"491","F-00094X","4"
"493","F-00935X","4"
"494","F-00288X","4"
"496","F-00534X","4"
"500","F-00518X","4"
"502","F-00377X","4"
"535","F-00423","4"
"537","F-00071","4"
"558","F-01046","4"
"561","F-00244","4"
"570","F-00094M","4"
"582","F-00534M","4"
"599","F-00282","4"
"607","F-00541X","6"
"610","F-00251","4"
"614","F-00380X","4"
"618","F-00254M","4"
"630","F-00952X","4"
"635","F-01138X","4"
"636","F-00247","4"
"642","F-01176X","4"
"647","F-00826X","4"
"668","F-01170","4"
"676","F-00380","4"
"679","F-00262","4"
"684","F-00934","4"
"694","F-00952","4"
"706","F-00832","10"
"712","F-00990","4"
"708","F-00400","4"
"713","F-01019","4"
"717","F-00821X","4"
"720","F-00877X","4"
"721","F-00540XX","4"
"722","F-00266X","4"
"732","F-00986X","4"
"734","F-00931X","4"
"742","F-01048XX","4"
"744","F-00589XX","4"
"746","F-00128X","4"
"750","F-00698X","4"
"756","F-00960X","4"
"767","F-01090XX","4"
"772","F-00671","4"
"777","F-00931","4"
"785","F-01048X","4"
"792","F-00662Х","4"
"795","F-00269X","4"
"801","F-01023X","4"
"859","F-00378","6"
"879","F-00749","4"
"884","F-00743","4"
"887","F-00961","4"
"888","F-00709","4"
"892","F-01023","4"
"897","F-00750","4"
"912","F-00062XX","4"
"915","F-01069","4"
"931","F-00271X","4"
"72","F-00484","2"
"83","F-00779","2"
"135","F-00681","2"
"168","F-00667","5"
"210","F-00497","2"
"227","F-00494","2"
"373","F-00651","2"
"419","F-00716","2"
"439","F-01009","2"
"542","F-00243M","5"
"547","F-00485","5"
"581","F-00534","5"
"891","F-00869","5"
"859","F-00378","2"
"908","F-00495","5"
"72","F-00484","10"
"64","F-00189","10"
"86","F-00187","10"
"135","F-00681","10"
"754","F-00877","20"
"223","F-00219","6"
"227","F-00494","4"
"228","F-00670A","4"
"226","F-00948","4"
"232","F-00949","4"
"273","F-00642","5"
"271","F-00035","5"
"278","F-00396","5"
"270","F-00018","5"
"375","F-00831","10"
"386","F-00226M","10"
"400","F-00121","6"
"396","F-00121M","6"
"414","F-00612","5"
"417","F-00229M","20"
"434","F-00228","4"
"439","F-01009","15"
"443","F-00231","4"
"448","F-00917","5"
"542","F-00243M","5"
"547","F-00485","8"
"551","F-01175","3"
"557","F-00070","10"
"576","F-00935","5"
"583","F-00411","4"
"582","F-00534M","4"
"595","F-00377","3"
"599","F-00282","4"
"617","F-00253","2"
"618","F-00254M","2"
"668","F-01170","6"
"683","F-00695","4"
"680","F-00262M","8"
"694","F-00952","4"
"696","F-00544","5"
"774","F-00825","9"
"848","F-00589","20"
"860","F-00589A","10"
"865","F-00754","6"
"866","F-00022","3"
"872","F-00478","4"
"878","F-00662M","6"
"886","F-00814","4"
"892","F-01023","3"
"915","F-01069","4"
"962","F-00537","4"
"963","F-00539","4"
"1010","F-00588","4"
"1013","F-00289","2"
"1014","F-00290","2"
"1076","F-01043","3"
"1077","F-01006","3"
"1110","F-01037","2"
"851","F-00479","4"
"133","F-00558","3"
"124","F-00558X","1"
"865","F-00754","1"
"848","F-00589","2"
"857","F-00589M","2"
