"Order Items: Product ID","Order Items: Variation ID","Order Items: SKU","Order Items: Product Name","Order Items: Quantity","Order Items: Total"
"3295","","710","F-00832","4","360"
"3120","","535","F-00530","2","120"
"2654","","69","F-00993X","2","60"
"3129","","544","F-00243M","2","180"
"3450","","865","F-00835","2","120"
"3140","","555","F-00448","2","180"
"3030","","445","F-00231","2","180"
"2941","","356","F-00231X","2","240"
"2888","","303","F-00032","2","120"
"3558","","973","F-00033","2","180"
"3325","","740","F-00101","2","120"
"2680","","95","F-00037","2","60"
"2591","","6","F-00178","2","180"
"2592","","7","F-00726","2","180"
"2593","","8","F-00372","2","180"
"2594","","9","F-00523","2","180"
"2598","","13","F-00365","1","30"
"2855","","270","F-00097","2","120.00"
"3127","","542","F-00093","4","360"
"3328","","743","F-00133X","2","240"
"3426","","841","F-00132","3","180"
"3432","","847","F-00169","3","180"
"3124","","539","F-00071M","2","180"
"3057","","472","F-00071X","2","240"
"3438","","853","F-00026","3","180"
"3439","","854","F-00026M","2","180"
"3372","","787","F-00026X","2","240"
"2700","","115","F-00368","4","120"
"3038","","453","F-00407","1","90"
"3276","","691","F-00401","4","360"
"3275","","690","F-00401A","2","180"
"3210","","625","F-00401AX","2","240"
"2970","","385","F-00360","4","360"
"2909","","324","F-00360X","2","240"
"2851","","266","F-00440","4","360"
"2832","","247","F-00440X","2","240"
"3253","","668","F-00261M","2","180"
"3193","","608","F-00261X","2","240"
"3179","","594","F-00293","3","270"
"3828","","1102","F-00398","4","360"
"3819","","1093","F-00398X","2","240"
"2658","","73","F-00484","5","150"
"2640","","55","F-00484X","2","120"
"2757","","172","F-00493","2","120"
"2767","","182","F-00497X","3","360"
"2859","","274","F-00642","3","270"
"2837","","252","F-00642X","2","240"
"2977","","392","F-00601","5","450"
"2915","","330","F-00601X","2","240"
"2984","","399","F-00652","3","270"
"2919","","334","F-00652X","2","240"
"3137","","552","F-00653","4","360"
"3069","","484","F-00653X","2","240"
"3195","","610","F-00541X","2","240"
"2763","","178","F-00576","3","270"
"3437","","852","F-00589","2","180"
"3449","","864","F-00589A","2","180"
"3373","","788","F-00589X","2","240"
"2896","","311","F-00590","2","120"
"3396","","811","F-00734","2","180"
"2985","","400","F-00830","3","270"
"2920","","335","F-00830X","4","480"
"2825","","240","F-00797","3","270"
"2783","","198","F-00797X","2","240"
"2795","","210","F-00796","1","90"
"2624","","39","F-00782","1","30"
"2645","","60","F-00779X","1","60"
"2891","","306","F-00758","5","300"
"3262","","677","F-00812","2","180"
"3363","","778","F-00825","6","540"
"3320","","735","F-00825X","2","240"
"3130","","545","F-00844","3","270"
"3414","","829","F-00899","4","360"
"3401","","816","F-00900","3","270"
"3256","","671","F-00923","3","270"
"3196","","611","F-00923X","3","360"
"3019","","434","F-00919","2","180"
"2707","","122","F-00915","2","120"
"3662","","1077","F-00902","1","90"
"2848","","263","F-00901","1","90"
"3163","","578","F-00935","4","360"
"3079","","494","F-00935X","2","240"
"3415","","830","F-00940","2","180"
"2698","","113","F-00895","2","60"
"2865","","280","F-01179","2","180"
"3049","","464","F-01099","2","180"
"3567","","982","F-01050","3","270"
"3532","","947","F-01050X","2","240"
"2717","","132","F-00063","5","150"
"2708","","123","F-00063X","2","120"
"3590","","1005","F-01223","4","360.00"
"2679","","94","F-00011","11","330"
"3557","","972","F-00017","2","180"
"2856","","271","F-00018","2","180"
"2676","","91","F-00030","4","120"
"2680","","95","F-00037","2","60"
"2717","","132","F-00063","5","150"
"3428","","843","F-00088","6","360"
"2890","","305","F-00118","3","180"
"2987","","402","F-00121","2","180"
"3379","","794","F-00139Х","4","480"
"2684","","99","F-00140","4","240"
"2753","","168","F-00168","5","300"
"2809","","224","F-00219","4","360"
"3030","","445","F-00231","2","180"
"3003","","418","F-00238","4","360"
"2922","","337","F-00238X","4","480"
"3198","","613","F-00251","3","270"
"3472","","887","F-00269","4","360"
"3179","","594","F-00293","4","360"
"3085","","500","F-00293X","4","480"
"3448","","863","F-00378","4","360"
"2651","","66","F-00395","4","120"
"3276","","691","F-00401","4","360"
"3326","","741","F-00408","2","120"
"3369","","784","F-00409X","4","480"
"3496","","911","F-00433","8","720"
"3073","","488","F-00448X","8","960"
"2658","","73","F-00484","4","120"
"3375","","790","F-00492X","2","240"
"3200","","615","F-00535X","4","480"
"3523","","938","F-00539X","4","480"
"3260","","675","F-00541","2","180"
"3601","","1016","F-00588","10","900"
"3593","","1008","F-00588X","4","480"
"3446","","861","F-00589M","5","450"
"3373","","788","F-00589X","4","480"
"3333","","748","F-00589XX","2","180"
"2720","","135","F-00663","10","300"
"3454","","869","F-00754","4","360"
"2920","","335","F-00830X","4","480"
"2699","","114","F-00868","2","60"
"3300","","715","F-00930","4","360"
"3811","","1085","F-00742","4","360.00"
"2659","","74","F-00459","5","300"
"2719","","134","F-00558","20","600"
"2696","","111","F-00677","5","150"
"2729","","144","F-00217","5","450"
"2883","","298","F-00225M","20","1800"
"3037","","452","F-00233","10","900"
"3252","","667","F-00206","10","600"
"3811","","1085","F-00742","5","450"
"3842","","1116","F-01037","4","360"
"2728","","143","F-00058","3","90"
"2899","","314","F-00927","3","180"
"2651","","66","F-00395","2","60"
"2658","","73","F-00484","2","60"
"2662","","77","F-00740","2","60"
"2663","","78","F-00111","2","60"
